rera_ids,bhk_type,bhk_count,mean_carpet_area,far,number_of_towers,total_unit_count,cost_of_land_inr,district,latitude,longitude,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,bhk_unit_portion,total_carpet_area
PRM/KA/RERA/1251/308/PR/310322/004804,1.0,32.0,23.181250000000002,2.24,1.0,336,55500000,Bengaluru Urban,12.83622323813447,77.77645767172825,GREEN BOULEVARD,2022-03-15,Residential/Group Housing,Anekal,12545,3635,8910,840244480,Sarjapur,Apartment,8.901250000000001,40.72986971842238,27.24122491180498,33.84729478454603,16.511886134525422,Nallurahalli,13.078358131845638,Hosur Road,0.09523809523809523,741.8000000000001
PRM/KA/RERA/1251/446/PR/151223/006488,1.0,12.0,47.70583333333334,2.25,1.0,300,465103540,Bengaluru Urban,13.010281060716672,77.75070548057556,ANKURAA MERIDIAN,2023-10-01,Residential/Group Housing,Bengaluru East,16035,4211,11824,2838678307,Kadugodi,Apartment,9.3,21.307771285123906,19.921230325743238,23.5955563770502,1.7900666252702981,Whitefield (Kadugodi),4.326104823363855,Old Madras Road,0.04,572.47
PRM/KA/RERA/1250/303/PR/280225/007529,1.0,207.0,39.4834634,2.49,7.0,798,1490400000,Bengaluru Rural,13.24131597560623,77.72044448956024,Park Cubix Phase 2,2024-09-01,Residential/Group Housing,Devanahalli,36128,6327,29801,4483800000,Devanahalli,Apartment,8.06,5.041948649467362,33.4976841863858,31.015297877206326,27.107683533411027,Krishnarajapura,17.175244999669722,Bellary Road,0.2593984962406015,8173.076923799999
PRM/KA/RERA/1251/446/PR/160622/005000,1.0,235.0,34.8683829787234,2.39027375,9.0,1161,830706136,Bengaluru Urban,13.011153967939244,77.74625655126265,Godrej Splendour,2022-03-21,Residential/Group Housing,Bengaluru East,30898,16395,14502,5255170993,Belathur,Apartment,11.74,21.109429675975125,19.465898521922746,23.106440539156466,2.1250267387881427,Whitefield (Kadugodi),3.827057541581567,Old Madras Road,0.20241171403962102,8194.07
PRM/KA/RERA/1251/308/PR/020923/006223,1.0,1.0,61.64,2.246,2.0,832,160718120,Bengaluru Urban,12.868634770732536,77.68724709749222,Adarsh Welkin Park Phase 1,2023-07-01,Residential/Group Housing,Anekal,55408,5386,50022,7490933520,Gattahalli,Apartment,11.9,36.48544547606128,17.435207176848465,24.29150213986328,12.439509941370833,Kundalahalli,3.0594132706175974,Hosur Road,0.001201923076923077,61.64
PRM/KA/RERA/1251/310/PR/241224/007315,1.0,56.0,44.120000000000005,2.98,3.0,407,1589100000,Bengaluru Urban,12.862791841200565,77.55759716033936,Sattva Forest Ridge,2025-01-01,Residential/Group Housing,Bengaluru South,16187,3757,12430,3624800000,JP Nagar,Apartment,10.35,40.43023650959737,12.676811344938391,18.532160395315053,2.1382321657765275,Vajarahalli,1.3747524392512758,NICE Peripheral Ring Road,0.1375921375921376,2470.7200000000003
PRM/KA/RERA/1251/446/PR/180124/006559,1.0,1.0,46.213,2.25,1.0,171,230525722,Bengaluru Urban,12.961223265198424,77.73431042069045,DESAI EMPIRE,2024-01-01,Residential/Group Housing,Bengaluru East,8372,1551,6821,1787153546,Whitefield,Apartment,9.7,26.359446089229653,17.877021320317464,22.977490239360034,1.9887514903428711,Nallurahalli,3.5954108461621943,Outer Ring Road,0.005847953216374269,46.213
PRM/KA/RERA/1251/446/PR/010325/007535,1.0,104.0,21.44,1.956,6.0,694,1278300172,Bengaluru Urban,12.88769444,77.69127778,Adarsh Tropica (Phase-2),2024-12-01,Residential/Group Housing,Bengaluru East,41530,8201,33328,7054273389,Choodasandra,Apartment,10.47,34.35696508959158,16.410243905942316,23.12056398695156,10.288672575875648,Kundalahalli,4.524218151507855,Outer Ring Road,0.14985590778097982,2229.76
PRM/KA/RERA/1251/308/PR/111124/007220,1.0,2.0,65.2173913,2.2498,3.0,346,398000000,Bengaluru Urban,12.8001152,77.7285945,SIGNATURE HEIGHTS,2024-10-18,Residential/Group Housing,Anekal,20942,4222,16720,1718000000,Electronic City,Apartment,7.75,44.073537132680116,26.01526291116947,32.94625590728732,19.533096866872704,Nallurahalli,10.020555959115404,Hosur Road,0.005780346820809248,130.4347826
PRM/KA/RERA/1251/446/PR/290722/005113,1.0,2.0,424.5,2.25,2.0,294,565658000,Bengaluru Urban,12.936414,77.724353,SM ART,2022-05-20,Residential/Group Housing,Bengaluru East,13309,3252,10057,1867233000,Varthur,Apartment,8.1,28.994656816864964,17.29927282135504,23.037685239216945,4.450669238077447,Nallurahalli,3.06080826957078,Outer Ring Road,0.006802721088435374,849.0
